dB,Effects
1,No Disturbances to health at this noise level.
2,No Disturbances to health at this noise level.
2,No Disturbances to health at this noise level.
3,No Disturbances to health at this noise level.
3,No Disturbances to health at this noise level.
4,No Disturbances to health at this noise level.
5,No Disturbances to health at this noise level.
8,No Disturbances to health at this noise level.
9,No Disturbances to health at this noise level.
9,No Disturbances to health at this noise level.
10,No Disturbances to health at this noise level.
11,No Disturbances to health at this noise level.
12,No Disturbances to health at this noise level.
13,No Disturbances to health at this noise level.
15,No Disturbances to health at this noise level.
16,No Disturbances to health at this noise level.
17,No Disturbances to health at this noise level.
17,No Disturbances to health at this noise level.
18,No Disturbances to health at this noise level.
18,No Disturbances to health at this noise level.
19,No Disturbances to health at this noise level.
20,No Disturbances to health at this noise level.
21,No Disturbances to health at this noise level.
22,No Disturbances to health at this noise level.
23,No Disturbances to health at this noise level.
25,No Disturbances to health at this noise level.
26,No Disturbances to health at this noise level.
27,No Disturbances to health at this noise level.
28,No Disturbances to health at this noise level.
29,No Disturbances to health at this noise level.
29,No Disturbances to health at this noise level.
32,No Disturbances to health at this noise level.
33,No Disturbances to health at this noise level.
36,No Disturbances to health at this noise level.
38,No Disturbances to health at this noise level.
39,No Disturbances to health at this noise level.
39,No Disturbances to health at this noise level.
40,No Disturbances to health at this noise level.
40,No Disturbances to health at this noise level.
44,No Disturbances to health at this noise level.
45,No Disturbances to health at this noise level.
46,No Disturbances to health at this noise level.
47,No Disturbances to health at this noise level.
47,No Disturbances to health at this noise level.
47,No Disturbances to health at this noise level.
48,No Disturbances to health at this noise level.
48,No Disturbances to health at this noise level.
49,No Disturbances to health at this noise level.
49,No Disturbances to health at this noise level.
50,No Disturbances to health at this noise level.
51,No Disturbances to health at this noise level.
51,No Disturbances to health at this noise level.
52,No Disturbances to health at this noise level.
55,No Disturbances to health at this noise level.
59,No Disturbances to health at this noise level.
60,No Disturbances to health at this noise level.
61,No Disturbances to health at this noise level.
61,No Disturbances to health at this noise level.
63,No Disturbances to health at this noise level.
66,No Disturbances to health at this noise level.
66,"Stress, tension, psychological (illness, heart attack) effects especially at upper range can occur at this constant sound level."
68,"Stress, tension, psychological (illness, heart attack) effects especially at upper range can occur at this constant sound level."
70,"Damage to health. Psychological and vegetative ( i.e. disturbance in stomach-gall function, pains in muscles, high blood measure, disturbance in sleeping, depression etc.) problems can happen at this constant sound level. In a long run hearing aid maybe required."
71,"Stress, tension, psychological (illness, heart attack) effects especially at upper range can occur at this constant sound level."
71.5,"Stress, tension, psychological (illness, heart attack) effects especially at upper range can occur at this constant sound level."
72,"Stress, tension, psychological (illness, heart attack) effects especially at upper range can occur at this constant sound level."
72.5,"Stress, tension, psychological (illness, heart attack) effects especially at upper range can occur at this constant sound level."
73,"Stress, tension, psychological (illness, heart attack) effects especially at upper range can occur at this constant sound level."
74,"Damage to health. Psychological and vegetative ( i.e. disturbance in stomach-gall function, pains in muscles, high blood measure, disturbance in sleeping, depression etc.) problems can happen at this constant sound level. In a long run hearing aid maybe required."
74,"Stress, tension, psychological (illness, heart attack) effects especially at upper range can occur at this constant sound level."
74,"Stress, tension, psychological (illness, heart attack) effects especially at upper range can occur at this constant sound level."
74,"Stress, tension, psychological (illness, heart attack) effects especially at upper range can occur at this constant sound level."
75,"Stress, tension, psychological (illness, heart attack) effects especially at upper range can occur at this constant sound level."
75,"Damage to health. Psychological and vegetative ( i.e. disturbance in stomach-gall function, pains in muscles, high blood measure, disturbance in sleeping, depression etc.) problems can happen at this constant sound level. In a long run hearing aid maybe required."
76,"Damage to health. Psychological and vegetative ( i.e. disturbance in stomach-gall function, pains in muscles, high blood measure, disturbance in sleeping, depression etc.) problems can happen at this constant sound level. In a long run hearing aid maybe required."
76,"Stress, tension, psychological (illness, heart attack) effects especially at upper range can occur at this constant sound level."
76,"Stress, tension, psychological (illness, heart attack) effects especially at upper range can occur at this constant sound level."
77,"Damage to health. Psychological and vegetative ( i.e. disturbance in stomach-gall function, pains in muscles, high blood measure, disturbance in sleeping, depression etc.) problems can happen at this constant sound level. In a long run hearing aid maybe required."
78,"Damage to health. Psychological and vegetative ( i.e. disturbance in stomach-gall function, pains in muscles, high blood measure, disturbance in sleeping, depression etc.) problems can happen at this constant sound level. In a long run hearing aid maybe required."
78,"Damage to health. Psychological and vegetative ( i.e. disturbance in stomach-gall function, pains in muscles, high blood measure, disturbance in sleeping, depression etc.) problems can happen at this constant sound level. In a long run hearing aid maybe required."
78,"Stress, tension, psychological (illness, heart attack) effects especially at upper range can occur at this constant sound level."
79,"Damage to health. Psychological and vegetative ( i.e. disturbance in stomach-gall function, pains in muscles, high blood measure, disturbance in sleeping, depression etc.) problems can happen at this constant sound level. In a long run hearing aid maybe required."
79,"Stress, tension, psychological (illness, heart attack) effects especially at upper range can occur at this constant sound level."
80,"Damage to health. Psychological and vegetative ( i.e. disturbance in stomach-gall function, pains in muscles, high blood measure, disturbance in sleeping, depression etc.) problems can happen at this constant sound level. In a long run hearing aid maybe required."
81,"Stress, tension, psychological (illness, heart attack) effects especially at upper range can occur at this constant sound level."
82,"Damage to health. Psychological and vegetative ( i.e. disturbance in stomach-gall function, pains in muscles, high blood measure, disturbance in sleeping, depression etc.) problems can happen at this constant sound level. In a long run hearing aid maybe required."
