pH,Effects
11.6,"Irritation to the eyes, skin, and mucous membranes"
11.4,"Irritation to the eyes, skin, and mucous membranes"
12.1,"Irritation to the eyes, skin, and mucous membranes"
11.8,"Irritation to the eyes, skin, and mucous membranes"
11.2,"Irritation to the eyes, skin, and mucous membranes"
12.4,"Irritation to the eyes, skin, and mucous membranes"
12.6,"Irritation to the eyes, skin, and mucous membranes"
12.3,"Irritation to the eyes, skin, and mucous membranes"
11.9,"Irritation to the eyes, skin, and mucous membranes"
11.5,"Irritation to the eyes, skin, and mucous membranes"
11.1,"Irritation to the eyes, skin, and mucous membranes"
10.9,"Irritation to the eyes, skin, and mucous membranes"
11.8,"Irritation to the eyes, skin, and mucous membranes"
12.5,"Irritation to the eyes, skin, and mucous membranes"
11.2,"Irritation to the eyes, skin, and mucous membranes"
11.3,"Irritation to the eyes, skin, and mucous membranes"
11.9,"Irritation to the eyes, skin, and mucous membranes"
12.3,"Irritation to the eyes, skin, and mucous membranes"
12.5,"Irritation to the eyes, skin, and mucous membranes"
12.4,"Irritation to the eyes, skin, and mucous membranes"
12.6,Gastrointestinal irritation may also occur
12.9,Gastrointestinal irritation may also occur
13,Gastrointestinal irritation may also occur
13.8,Gastrointestinal irritation may also occur
13.4,Gastrointestinal irritation may also occur
13.3,Gastrointestinal irritation may also occur
14,Gastrointestinal irritation may also occur
13.7,Gastrointestinal irritation may also occur
13.5,Gastrointestinal irritation may also occur
12.6,Gastrointestinal irritation may also occur
12.7,Gastrointestinal irritation may also occur
12.5,Gastrointestinal irritation may also occur
13.1,Gastrointestinal irritation may also occur
12.9,Gastrointestinal irritation may also occur
12.7,Gastrointestinal irritation may also occur
13.6,Gastrointestinal irritation may also occur
13.5,Gastrointestinal irritation may also occur
13.3,Gastrointestinal irritation may also occur
13.2,Gastrointestinal irritation may also occur
7,Safe Drinking Water
7.18,Safe Drinking Water
7.35,Safe Drinking Water
7.9,Safe Drinking Water
8.4,Safe Drinking Water
8.3,Safe Drinking Water
6.8,Safe Drinking Water
6.5,Safe Drinking Water
6.9,Safe Drinking Water
7.6,Safe Drinking Water
7.3,Safe Drinking Water
7.9,Safe Drinking Water
8.1,Safe Drinking Water
8.3,Safe Drinking Water
8,Safe Drinking Water
8.22,Safe Drinking Water
7.67,Safe Drinking Water
7.2,Safe Drinking Water
7.35,Safe Drinking Water
7.6,Safe Drinking Water
6.7,Safe Drinking Water
6.4,Safe Drinking Water
6.6,Safe Drinking Water
6.98,Safe Drinking Water
6.45,Safe Drinking Water
6.78,Safe Drinking Water
6.5,Safe Drinking Water
6.9,Safe Drinking Water
6.96,Safe Drinking Water
8.5,Safe Drinking Water
8.6,Safe Drinking Water
8.53,Safe Drinking Water
8.21,Safe Drinking Water
8.35,Safe Drinking Water
7.87,Safe Drinking Water
11,"Irritation to the eyes, skin, and mucous membranes"
11.3,"Irritation to the eyes, skin, and mucous membranes"
11.69,"Irritation to the eyes, skin, and mucous membranes"
11.65,"Irritation to the eyes, skin, and mucous membranes"
12.6,"Irritation to the eyes, skin, and mucous membranes"
12.36,"Irritation to the eyes, skin, and mucous membranes"
8.6,Not Harmful but level of pH is higher than normal. Install water purifying unit.
9,Not Harmful but level of pH is higher than normal. Install water purifying unit.
9.6,Not Harmful but level of pH is higher than normal. Install water purifying unit.
9.8,Not Harmful but level of pH is higher than normal. Install water purifying unit.
8.8,Not Harmful but level of pH is higher than normal. Install water purifying unit.
8.98,Not Harmful but level of pH is higher than normal. Install water purifying unit.
9.6,Not Harmful but level of pH is higher than normal. Install water purifying unit.
9.8,Not Harmful but level of pH is higher than normal. Install water purifying unit.
10.1,Not Harmful but level of pH is higher than normal. Install water purifying unit.
9.5,Not Harmful but level of pH is higher than normal. Install water purifying unit.
9.36,Not Harmful but level of pH is higher than normal. Install water purifying unit.
9.1,Not Harmful but level of pH is higher than normal. Install water purifying unit.
9.1,Not Harmful but level of pH is higher than normal. Install water purifying unit.
9.23,Not Harmful but level of pH is higher than normal. Install water purifying unit.
9.2,Not Harmful but level of pH is higher than normal. Install water purifying unit.
9.9,Not Harmful but level of pH is higher than normal. Install water purifying unit.
10,Not Harmful but level of pH is higher than normal. Install water purifying unit.
8.6,Not Harmful but level of pH is higher than normal. Install water purifying unit.
8.65,Not Harmful but level of pH is higher than normal. Install water purifying unit.
8.5,Not Harmful but level of pH is higher than normal. Install water purifying unit.
8.9,Not Harmful but level of pH is higher than normal. Install water purifying unit.
9.9,Not Harmful but level of pH is higher than normal. Install water purifying unit.
9.6,Not Harmful but level of pH is higher than normal. Install water purifying unit.
