From Date,To Date,PM10,PM2.5,NO2,CO,Ozone,SO2
01-06-2018 00:00,01-06-2018 01:00,167.0,68.0,15.41,0.79,128.07,16.53
01-06-2018 01:00,01-06-2018 02:00,171.0,86.0,14.36,0.84,None,23.51
01-06-2018 02:00,01-06-2018 03:00,169.0,79.0,11.93,0.34,74.6,3.94
01-06-2018 03:00,01-06-2018 04:00,172.0,67.0,12.04,0.9,47.84,5.1
01-06-2018 04:00,01-06-2018 05:00,152.0,73.0,10.95,0.81,23.88,4.66
01-06-2018 05:00,01-06-2018 06:00,193.0,58.0,10.75,0.29,9.25,2.24
01-06-2018 06:00,01-06-2018 07:00,191.0,55.0,12.25,0.03,1.12,1.88
01-06-2018 07:00,01-06-2018 08:00,168.0,56.0,15.38,0.04,1.58,0.89
01-06-2018 08:00,01-06-2018 09:00,149.0,46.0,16.33,0.06,2.02,1.28
01-06-2018 09:00,01-06-2018 10:00,151.0,46.0,12.77,0.29,25.41,1.62
01-06-2018 10:00,01-06-2018 11:00,196.0,62.0,11.46,0.75,81.52,2.72
01-06-2018 11:00,01-06-2018 12:00,216.0,56.0,11.5,0.95,117.63,2.67
01-06-2018 12:00,01-06-2018 13:00,204.0,48.0,11.43,0.58,158.28,2.31
01-06-2018 13:00,01-06-2018 14:00,210.0,55.0,9.97,0.63,171.86,3.36
01-06-2018 14:00,01-06-2018 15:00,186.0,42.0,9.5,0.48,151.98,3.36
01-06-2018 15:00,01-06-2018 16:00,173.0,47.0,9.52,0.65,162.78,3.48
01-06-2018 16:00,01-06-2018 17:00,184.0,45.0,10.57,0.72,155.4,4.48
01-06-2018 17:00,01-06-2018 18:00,197.0,48.0,11.81,0.43,124.24,4.01
01-06-2018 18:00,01-06-2018 19:00,218.0,56.0,12.7,0.75,112.42,5.09
01-06-2018 19:00,01-06-2018 20:00,227.0,64.0,13.45,0.9,83.52,5.68
01-06-2018 20:00,01-06-2018 21:00,267.0,89.0,11.69,0.79,81.59,4.41
01-06-2018 21:00,01-06-2018 22:00,None,296.0,9.64,0.47,98.9,2.65
01-06-2018 22:00,01-06-2018 23:00,206.0,28.0,12.88,0.4,87.96,2.95
01-06-2018 23:00,02-06-2018 00:00,141.0,30.0,20.46,0.23,43.41,5.33
02-06-2018 00:00,02-06-2018 01:00,79.0,42.0,15.82,0.48,74.82,3.31
02-06-2018 01:00,02-06-2018 02:00,78.0,24.0,13.11,0.41,71.82,2.85
02-06-2018 02:00,02-06-2018 03:00,55.0,41.0,12.5,0.14,66.83,2.0
02-06-2018 03:00,02-06-2018 04:00,51.0,28.0,12.02,0.38,71.55,2.29
02-06-2018 04:00,02-06-2018 05:00,44.0,23.0,12.39,0.4,60.56,2.95
02-06-2018 05:00,02-06-2018 06:00,59.0,25.0,13.21,0.04,15.59,1.16
02-06-2018 06:00,02-06-2018 07:00,66.0,28.0,11.45,0.68,65.93,3.25
02-06-2018 07:00,02-06-2018 08:00,72.0,38.0,11.19,1.01,74.97,3.47
02-06-2018 08:00,02-06-2018 09:00,95.0,36.0,11.19,1.4,90.08,3.5
02-06-2018 09:00,02-06-2018 10:00,92.0,35.0,12.07,1.4,118.38,4.37
02-06-2018 10:00,02-06-2018 11:00,139.0,44.0,12.72,1.11,87.52,3.32
02-06-2018 11:00,02-06-2018 12:00,134.0,38.0,12.68,1.59,98.14,3.34
02-06-2018 12:00,02-06-2018 13:00,127.0,36.0,14.17,0.82,112.68,6.88
02-06-2018 13:00,02-06-2018 14:00,114.0,40.0,11.72,1.27,130.44,4.48
02-06-2018 14:00,02-06-2018 15:00,121.0,36.0,9.93,1.49,147.57,3.43
02-06-2018 15:00,02-06-2018 16:00,132.0,34.0,9.84,1.65,149.52,3.44
02-06-2018 16:00,02-06-2018 17:00,143.0,35.0,10.37,1.88,149.62,3.58
02-06-2018 17:00,02-06-2018 18:00,153.0,39.0,11.52,1.76,104.82,4.44
02-06-2018 18:00,02-06-2018 19:00,177.0,44.0,15.14,1.0,118.58,7.03
02-06-2018 19:00,02-06-2018 20:00,150.0,46.0,23.66,1.11,110.64,16.11
02-06-2018 20:00,02-06-2018 21:00,118.0,52.0,22.23,1.27,87.28,12.9
02-06-2018 21:00,02-06-2018 22:00,94.0,47.0,20.57,1.52,99.16,15.53
02-06-2018 22:00,02-06-2018 23:00,97.0,55.0,17.14,1.69,159.25,15.47
02-06-2018 23:00,03-06-2018 00:00,85.0,45.0,14.46,0.94,112.81,6.67
03-06-2018 00:00,03-06-2018 01:00,68.0,40.0,12.87,1.08,117.31,5.04
03-06-2018 01:00,03-06-2018 02:00,73.0,51.0,11.29,1.28,147.2,12.03
03-06-2018 02:00,03-06-2018 03:00,78.0,44.0,11.23,2.17,123.12,6.12
03-06-2018 03:00,03-06-2018 04:00,63.0,44.0,13.32,5.79,74.23,4.52
03-06-2018 04:00,03-06-2018 05:00,69.0,45.0,12.87,5.25,124.18,13.32
03-06-2018 05:00,03-06-2018 06:00,89.0,72.0,13.72,3.2,39.03,8.27
03-06-2018 06:00,03-06-2018 07:00,78.0,67.0,13.63,0.44,24.62,7.93
03-06-2018 07:00,03-06-2018 08:00,84.0,69.0,12.31,0.38,28.26,6.95
03-06-2018 08:00,03-06-2018 09:00,84.0,48.0,12.48,0.23,40.1,8.66
03-06-2018 09:00,03-06-2018 10:00,85.0,50.0,13.88,0.11,89.56,10.33
03-06-2018 10:00,03-06-2018 11:00,103.0,42.0,12.55,0.11,16.64,7.8
03-06-2018 11:00,03-06-2018 12:00,103.0,52.0,12.9,0.07,67.63,8.34
03-06-2018 12:00,03-06-2018 13:00,97.0,45.0,13.32,0.63,118.56,9.84
03-06-2018 13:00,03-06-2018 14:00,97.0,34.0,9.56,0.5,140.96,4.58
03-06-2018 14:00,03-06-2018 15:00,95.0,33.0,8.06,0.35,151.61,3.37
03-06-2018 15:00,03-06-2018 16:00,121.0,34.0,7.97,0.17,159.27,3.45
03-06-2018 16:00,03-06-2018 17:00,102.0,36.0,8.0,0.35,173.68,4.05
03-06-2018 17:00,03-06-2018 18:00,112.0,40.0,9.33,0.36,129.34,3.76
03-06-2018 18:00,03-06-2018 19:00,130.0,42.0,12.24,0.63,123.69,5.16
03-06-2018 19:00,03-06-2018 20:00,156.0,50.0,14.52,0.81,100.6,4.98
03-06-2018 20:00,03-06-2018 21:00,164.0,48.0,17.0,0.91,86.79,4.38
03-06-2018 21:00,03-06-2018 22:00,155.0,56.0,20.04,0.98,118.15,17.91
03-06-2018 22:00,03-06-2018 23:00,139.0,68.0,18.38,0.94,157.27,17.47
03-06-2018 23:00,04-06-2018 00:00,141.0,66.0,14.03,0.9,1.1,17.34
04-06-2018 00:00,04-06-2018 01:00,106.8,56.0,12.58,0.66,193.0,14.52
04-06-2018 01:00,04-06-2018 02:00,102.08,50.0,9.8,0.66,149.37,5.57
04-06-2018 02:00,04-06-2018 03:00,97.42,44.0,9.02,0.22,100.9,3.82
04-06-2018 03:00,04-06-2018 04:00,89.67,48.0,9.25,0.63,69.67,3.62
04-06-2018 04:00,04-06-2018 05:00,85.33,47.0,9.15,0.77,58.97,3.48
04-06-2018 05:00,04-06-2018 06:00,89.58,42.0,10.16,0.74,41.07,4.6
04-06-2018 06:00,04-06-2018 07:00,103.75,57.0,9.72,0.48,55.02,3.8
04-06-2018 07:00,04-06-2018 08:00,101.33,44.0,10.62,0.43,54.41,3.9
04-06-2018 08:00,04-06-2018 09:00,110.17,57.0,11.5,0.48,63.87,4.58
04-06-2018 09:00,04-06-2018 10:00,118.33,44.0,11.49,0.36,90.25,3.99
04-06-2018 10:00,04-06-2018 11:00,142.83,46.0,11.05,0.33,123.2,3.67
04-06-2018 11:00,04-06-2018 12:00,195.42,55.0,10.39,0.22,126.09,7.97
04-06-2018 12:00,04-06-2018 13:00,169.75,52.0,9.96,0.6,148.58,8.04
04-06-2018 13:00,04-06-2018 14:00,156.0,52.0,9.41,0.68,158.61,6.43
04-06-2018 14:00,04-06-2018 15:00,156.83,57.0,9.16,0.74,161.31,4.43
04-06-2018 15:00,04-06-2018 16:00,152.42,46.0,9.52,0.8,168.84,5.22
04-06-2018 16:00,04-06-2018 17:00,157.5,51.0,10.13,0.89,148.68,5.16
04-06-2018 17:00,04-06-2018 18:00,156.17,50.0,12.48,0.81,104.01,10.15
04-06-2018 18:00,04-06-2018 19:00,166.08,50.0,12.92,0.63,112.3,13.19
04-06-2018 19:00,04-06-2018 20:00,178.0,59.0,14.57,0.73,77.42,4.38
04-06-2018 20:00,04-06-2018 21:00,188.17,61.0,16.22,0.79,71.13,4.67
04-06-2018 21:00,04-06-2018 22:00,153.25,63.0,14.46,0.88,103.73,9.12
04-06-2018 22:00,04-06-2018 23:00,124.33,66.0,15.62,1.32,None,17.8
04-06-2018 23:00,05-06-2018 00:00,111.0,56.0,15.54,1.24,126.27,12.31
05-06-2018 00:00,05-06-2018 01:00,100.83,46.0,14.8,0.72,34.96,5.65
05-06-2018 01:00,05-06-2018 02:00,91.9,None,14.97,None,1.72,None
05-06-2018 02:00,05-06-2018 03:00,83.0,None,15.18,None,1.62,None
05-06-2018 03:00,05-06-2018 04:00,89.0,None,15.07,None,1.92,None
05-06-2018 04:00,05-06-2018 05:00,79.0,None,11.91,None,1.99,None
05-06-2018 05:00,05-06-2018 06:00,78.0,None,9.72,None,1.82,None
05-06-2018 06:00,05-06-2018 07:00,75.0,None,11.55,None,2.08,None
05-06-2018 07:00,05-06-2018 08:00,102.5,None,11.37,None,2.22,None
05-06-2018 08:00,05-06-2018 09:00,103.17,None,12.63,None,2.69,None
05-06-2018 09:00,05-06-2018 10:00,112.17,None,12.47,None,2.62,None
05-06-2018 10:00,05-06-2018 11:00,251.25,46.0,12.02,0.09,18.18,27.85
05-06-2018 11:00,05-06-2018 12:00,232.5,46.0,10.01,2.1,42.1,17.86
05-06-2018 12:00,05-06-2018 13:00,142.83,119.0,18.22,0.12,1.13,None
05-06-2018 13:00,05-06-2018 14:00,114.83,38.33,8.32,0.12,0.68,28.82
05-06-2018 14:00,05-06-2018 15:00,101.08,34.67,7.98,0.15,0.74,28.6
05-06-2018 15:00,05-06-2018 16:00,104.58,30.42,12.43,0.18,26.63,23.48
05-06-2018 16:00,05-06-2018 17:00,89.0,33.0,22.34,0.16,34.17,21.81
05-06-2018 17:00,05-06-2018 18:00,89.0,33.0,13.35,0.13,0.6,27.74
05-06-2018 18:00,05-06-2018 19:00,102.0,44.0,13.01,0.21,81.67,6.92
05-06-2018 19:00,05-06-2018 20:00,132.0,57.0,17.98,0.07,28.36,23.19
05-06-2018 20:00,05-06-2018 21:00,195.0,59.0,15.49,0.46,58.65,6.9
05-06-2018 21:00,05-06-2018 22:00,114.0,53.0,13.48,0.12,44.56,12.18
05-06-2018 22:00,05-06-2018 23:00,116.0,63.0,12.42,0.07,0.84,None
05-06-2018 23:00,06-06-2018 00:00,103.0,55.0,12.74,0.14,0.85,None
06-06-2018 00:00,06-06-2018 01:00,106.0,67.0,10.72,0.8,140.47,9.76
06-06-2018 01:00,06-06-2018 02:00,107.0,72.0,10.52,0.65,63.37,7.16
06-06-2018 02:00,06-06-2018 03:00,118.0,62.0,10.1,0.27,63.6,14.5
06-06-2018 03:00,06-06-2018 04:00,103.0,64.0,11.97,0.47,47.79,9.89
06-06-2018 04:00,06-06-2018 05:00,128.0,99.0,13.09,0.41,6.4,8.84
06-06-2018 05:00,06-06-2018 06:00,150.0,114.0,10.22,0.36,14.34,6.52
06-06-2018 06:00,06-06-2018 07:00,257.0,58.0,8.19,0.47,40.24,3.74
06-06-2018 07:00,06-06-2018 08:00,81.0,30.0,8.99,0.4,45.46,3.5
06-06-2018 08:00,06-06-2018 09:00,66.0,22.0,9.68,0.53,55.37,3.8
06-06-2018 09:00,06-06-2018 10:00,56.0,22.0,9.84,0.68,63.93,3.69
06-06-2018 10:00,06-06-2018 11:00,101.0,19.0,10.05,0.51,72.56,3.51
06-06-2018 11:00,06-06-2018 12:00,127.0,28.0,13.06,0.52,85.83,6.49
06-06-2018 12:00,06-06-2018 13:00,179.0,44.0,14.2,1.15,64.59,6.31
06-06-2018 13:00,06-06-2018 14:00,None,50.0,12.25,1.21,74.35,5.01
06-06-2018 14:00,06-06-2018 15:00,493.0,44.0,12.37,1.19,83.17,4.83
06-06-2018 15:00,06-06-2018 16:00,162.08,36.0,15.71,1.23,93.09,7.27
06-06-2018 16:00,06-06-2018 17:00,143.92,52.0,15.23,1.31,87.11,7.03
06-06-2018 17:00,06-06-2018 18:00,152.33,44.0,13.35,1.12,59.74,4.52
06-06-2018 18:00,06-06-2018 19:00,152.08,45.0,13.94,1.19,58.44,5.16
06-06-2018 19:00,06-06-2018 20:00,197.83,57.0,13.22,1.22,30.56,4.51
06-06-2018 20:00,06-06-2018 21:00,180.0,62.0,13.87,1.43,19.48,4.11
06-06-2018 21:00,06-06-2018 22:00,165.17,58.0,12.65,1.31,28.55,3.05
06-06-2018 22:00,06-06-2018 23:00,128.25,51.0,14.8,1.28,16.7,10.05
06-06-2018 23:00,07-06-2018 00:00,142.42,57.0,17.72,1.41,5.2,20.89
07-06-2018 00:00,07-06-2018 01:00,166.0,75.0,21.03,1.11,1.33,21.19
07-06-2018 01:00,07-06-2018 02:00,194.58,83.0,19.19,1.12,4.5,25.42
07-06-2018 02:00,07-06-2018 03:00,195.17,95.0,15.62,0.99,91.58,13.94
07-06-2018 03:00,07-06-2018 04:00,168.42,83.0,12.44,0.87,73.08,7.69
07-06-2018 04:00,07-06-2018 05:00,137.58,77.0,13.99,0.84,52.68,8.14
07-06-2018 05:00,07-06-2018 06:00,161.58,91.0,15.02,0.69,13.22,9.67
