BOD level (ppm),Water Quality
0.05,Very Good. There will not be much organic waste present in the water supply. Clean.
0.09,Very Good. There will not be much organic waste present in the water supply. Clean.
0.1,Very Good. There will not be much organic waste present in the water supply. Clean.
0.19,Very Good. There will not be much organic waste present in the water supply. Clean.
0.2,Very Good. There will not be much organic waste present in the water supply. Clean.
0.23,Very Good. There will not be much organic waste present in the water supply. Clean.
0.31,Very Good. There will not be much organic waste present in the water supply. Clean.
0.37,Very Good. There will not be much organic waste present in the water supply. Clean.
0.4,Very Good. There will not be much organic waste present in the water supply. Clean.
0.45,Very Good. There will not be much organic waste present in the water supply. Clean.
0.47,Very Good. There will not be much organic waste present in the water supply. Clean.
0.49,Very Good. There will not be much organic waste present in the water supply. Clean.
0.55,Very Good. There will not be much organic waste present in the water supply. Clean.
0.6,Very Good. There will not be much organic waste present in the water supply. Clean.
0.6,Very Good. There will not be much organic waste present in the water supply. Clean.
0.65,Very Good. There will not be much organic waste present in the water supply. Clean.
0.67,Very Good. There will not be much organic waste present in the water supply. Clean.
0.7,Very Good. There will not be much organic waste present in the water supply. Clean.
0.79,Very Good. There will not be much organic waste present in the water supply. Clean.
0.8,Very Good. There will not be much organic waste present in the water supply. Clean.
0.8,Very Good. There will not be much organic waste present in the water supply. Clean.
0.87,Very Good. There will not be much organic waste present in the water supply. Clean.
0.87,Very Good. There will not be much organic waste present in the water supply. Clean.
0.9,Very Good. There will not be much organic waste present in the water supply. Clean.
0.9,Very Good. There will not be much organic waste present in the water supply. Clean.
1.1,Very Good. There will not be much organic waste present in the water supply. Clean.
1.3,Very Good. There will not be much organic waste present in the water supply. Clean.
1.39,Very Good. There will not be much organic waste present in the water supply. Clean.
1.4,Very Good. There will not be much organic waste present in the water supply. Clean.
1.45,Very Good. There will not be much organic waste present in the water supply. Clean.
1.48,Very Good. There will not be much organic waste present in the water supply. Clean.
1.5,Very Good. There will not be much organic waste present in the water supply. Clean.
1.55,Very Good. There will not be much organic waste present in the water supply. Clean.
1.6,Very Good. There will not be much organic waste present in the water supply. Clean.
1.65,Very Good. There will not be much organic waste present in the water supply. Clean.
1.66,Very Good. There will not be much organic waste present in the water supply. Clean.
1.77,Very Good. There will not be much organic waste present in the water supply. Clean.
1.78,Very Good. There will not be much organic waste present in the water supply. Clean.
1.88,Very Good. There will not be much organic waste present in the water supply. Clean.
1.9,Very Good. There will not be much organic waste present in the water supply. Clean.
1.9,Very Good. There will not be much organic waste present in the water supply. Clean.
1.95,Very Good. There will not be much organic waste present in the water supply. Clean.
1.97,Very Good. There will not be much organic waste present in the water supply. Clean.
1.99,Very Good. There will not be much organic waste present in the water supply. Clean.
1.99,Very Good. There will not be much organic waste present in the water supply. Clean.
2,Very Good. There will not be much organic waste present in the water supply. Clean.
2,Very Good. There will not be much organic waste present in the water supply. Clean.
2,Very Good. There will not be much organic waste present in the water supply. Clean.
2.01,Very Good. There will not be much organic waste present in the water supply. Clean.
2.01,Very Good. There will not be much organic waste present in the water supply. Clean.
2.1,Very Good. There will not be much organic waste present in the water supply. Clean.
2.19,Very Good. There will not be much organic waste present in the water supply. Clean.
2.2,Very Good. There will not be much organic waste present in the water supply. Clean.
2.24,Very Good. There will not be much organic waste present in the water supply. Clean.
2.3,Very Good. There will not be much organic waste present in the water supply. Clean.
2.3,Very Good. There will not be much organic waste present in the water supply. Clean.
2.33,Very Good. There will not be much organic waste present in the water supply. Clean.
2.4,Very Good. There will not be much organic waste present in the water supply. Clean.
2.4,Very Good. There will not be much organic waste present in the water supply. Clean.
2.4,Very Good. There will not be much organic waste present in the water supply. Clean.
2.4,Very Good. There will not be much organic waste present in the water supply. Clean.
2.46,Very Good. There will not be much organic waste present in the water supply. Clean.
2.5,Very Good. There will not be much organic waste present in the water supply. Clean.
2.56,Very Good. There will not be much organic waste present in the water supply. Clean.
2.6,Very Good. There will not be much organic waste present in the water supply. Clean.
2.6,Very Good. There will not be much organic waste present in the water supply. Clean.
2.67,Very Good. There will not be much organic waste present in the water supply. Clean.
2.78,Very Good. There will not be much organic waste present in the water supply. Clean.
2.87,Very Good. There will not be much organic waste present in the water supply. Clean.
2.89,Very Good. There will not be much organic waste present in the water supply. Clean.
2.9,Very Good. There will not be much organic waste present in the water supply. Clean.
2.9,Very Good. There will not be much organic waste present in the water supply. Clean.
2.97,Very Good. There will not be much organic waste present in the water supply. Clean.
2.99,Very Good. There will not be much organic waste present in the water supply. Clean.
3,Very Good. There will not be much organic waste present in the water supply. Clean.
3,Fair: Moderately Clean. Intake will not affect health.
3.01,Fair: Moderately Clean. Intake will not affect health.
3.1,Fair: Moderately Clean. Intake will not affect health.
3.13,Fair: Moderately Clean. Intake will not affect health.
3.17,Fair: Moderately Clean. Intake will not affect health.
3.2,Fair: Moderately Clean. Intake will not affect health.
3.29,Fair: Moderately Clean. Intake will not affect health.
3.3,Fair: Moderately Clean. Intake will not affect health.
3.31,Fair: Moderately Clean. Intake will not affect health.
3.33,Fair: Moderately Clean. Intake will not affect health.
3.37,Fair: Moderately Clean. Intake will not affect health.
3.47,Fair: Moderately Clean. Intake will not affect health.
3.49,Fair: Moderately Clean. Intake will not affect health.
