Sampling_Date,pH,Conductivity,BOD,NitrateN,Fecal.Coliform.,Total.Coliform.
3/1/2014,8.08,143,0.1,0.121,11,46
3/1/2014,8.18,137,0.5,0.172,22,130
3/1/2014,7.7,152,0.1,0.436,17,79
3/1/2014,7.91,141,0.2,0.974,33,130
3/1/2014,8.05,172,0.3,0.482,180,1600
3/1/2014,7.87,286,2,1.02,NaN,NaN
3/1/2014,7.74,296,1.8,0.84,NaN,NaN
3/1/2014,7.52,226,0.3,0.5,NaN,NaN
3/1/2014,8.56,502,0.3,0.245,34,220
3/1/2014,8.36,337,0.4,0.323,79,350
3/1/2014,8.28,109,0.6,0.565,94,350
3/1/2014,7.35,223,0.5,0.71,NaN,NaN
3/1/2014,8.19,358,3.3,NaN,2300,3100
3/1/2014,8.58,418,5,NaN,22000,34000
3/1/2014,8.53,434,0.1,0.307,33,180
3/1/2014,8.56,392,0.4,0.352,49,240
3/1/2014,7.98,212,0.4,0.61,NaN,NaN
3/1/2014,7.26,74.8,18,1.11,NaN,NaN
3/1/2014,7.8,134,0.6,0.325,21,63
3/1/2014,8.5,409,4,NaN,NaN,NaN
3/1/2014,7.69,145,0.4,0.269,21,180
3/1/2014,8,243,2,NaN,NaN,NaN
3/1/2014,7.5,180,2.3,0.93,NaN,NaN
3/1/2014,7.58,200,4,1.13,NaN,NaN
3/1/2014,8.67,465,0.3,0.261,13,79
3/1/2014,7.5,185,1.5,NaN,NaN,NaN
3/1/2014,7.8,180,2.1,0.9,NaN,NaN
3/1/2014,7,56,0.5,0.01,330,1600
3/1/2014,6.82,62,0.3,0.58,NaN,4
3/1/2014,7.91,134,0.1,0.707,49,350
3/1/2014,8.24,196,1.2,0.14,10,21
3/1/2014,8.72,112,1.2,0.15,14,24
3/1/2014,8,850,2.6,4.1,30,850
3/1/2014,8.08,723,1.1,0.68,NaN,2100
3/1/2014,8.67,475,0.4,0.024,14,79
3/1/2014,7.82,546,2,1.15,NaN,NaN
3/1/2014,6.55,644,41,0.412,44,110
3/1/2014,7.93,115,1.2,0.34,10,23
3/1/2014,7.25,168,NaN,NaN,NaN,210
3/1/2014,7.6,173,NaN,NaN,NaN,120
3/1/2014,8.01,198,1.9,NaN,NaN,43
3/1/2014,8.34,207,2.1,NaN,NaN,150
3/1/2014,6.8,52,0.4,0.01,280,920
3/1/2014,6.6,50,0.2,0.01,700,2400
3/1/2014,7.7,52160,1.5,0.03,46,460
3/1/2014,7.8,53010,0.1,0.12,79,430
3/1/2014,7.1,132,1,0.09,49,630
3/1/2014,7.6,182,0.8,0.01,140,170
3/1/2014,7.9,202,1.5,0.01,310,490
3/1/2014,8.2,440,1,1,12,68
3/1/2014,8.02,387,0.6,0.42,NaN,1100
3/1/2014,8.29,386,1.4,0.48,NaN,2100
3/1/2014,7.38,697,1.4,1,NaN,2100
3/1/2014,7.58,466,1,0.68,NaN,1100
3/1/2014,7.86,108,NaN,NaN,NaN,400
3/1/2014,8.36,276,3.2,NaN,4600,6300
3/1/2014,7.94,102,0.6,0.147,14,70
3/1/2014,7.9,122,1,0.508,17,94
3/1/2014,7.86,137,0.3,0.863,23,240
3/1/2014,8.18,279,0.7,1.01,NaN,NaN
3/1/2014,8.09,125,0.2,0.258,14,34
3/1/2014,8.02,122,0.8,0.167,13,43
3/1/2014,8.25,254,0.4,0.422,94,540
3/1/2014,7.19,93,0.7,1.12,NaN,NaN
3/1/2014,7.08,96,0.8,1.08,NaN,NaN
3/1/2014,8.63,471,0.6,0.027,13,27
3/1/2014,8.61,446,0.1,0.043,17,70
3/1/2014,8.66,466,1.2,0.207,26,63
3/1/2014,7.61,202,0.3,1,NaN,NaN
3/1/2014,7.63,291,0.3,0.91,NaN,NaN
3/1/2014,7.68,155,0.5,1.13,NaN,NaN
3/1/2014,7.86,145,0.8,1.26,NaN,NaN
3/1/2014,6.23,33,0.2,0.59,NaN,3
3/1/2014,7.19,89,0.1,0.79,NaN,4
3/1/2014,7.01,60,0.1,0.913,NaN,4
3/1/2014,6.87,619,2,10.4,4,16
3/1/2014,6.32,517,1.2,10.29,4,18
3/1/2014,8.32,238,1,0.18,7,18
3/1/2014,7.19,247,1.4,0.17,8,16
3/1/2014,7.21,140,1.4,0.31,13,21
3/1/2014,8.02,130,1.4,0.28,14,23
3/1/2014,8.24,56,1.2,0.02,17,23
3/1/2014,8.21,110,1.4,0.04,11,24
3/1/2014,8.01,486,1,0.58,NaN,900
3/1/2014,8.52,568,1.2,0.72,NaN,1400
3/1/2014,7.6,175,2,NaN,NaN,NaN
3/1/2014,7.8,160,2,NaN,NaN,NaN
3/1/2014,7.7,178,1.3,NaN,NaN,NaN
3/1/2014,7.8,381,1,0.76,NaN,NaN
3/1/2014,7.6,287,3,1.23,NaN,NaN
3/1/2014,7.45,85,1,0.78,NaN,NaN
3/1/2014,7.8,94,NaN,0.78,NaN,NaN
3/1/2014,8.1,110,1.5,0.63,NaN,NaN
3/1/2014,8.2,98,1,0.64,NaN,NaN
3/1/2014,7.8,98,1,0.56,NaN,NaN
3/1/2014,7.2,140,NaN,0.45,NaN,NaN
3/1/2014,7.65,150,NaN,0.45,NaN,NaN
3/1/2014,7.45,140,1,0.341,NaN,NaN
3/1/2014,7.9,412,NaN,1.2,900,1400
3/1/2014,7.9,290,1,1.2,110,280
3/1/2014,7.7,342,1,2.6,200,500
3/1/2014,7.5,594,6,3.4,2100,4300
3/1/2014,7.7,,28,NaN,NaN,NaN
3/2/2014,8,876,2.4,1.3,20,700
